ano_base,uf,ocupacao_principal,qtde_contribuintes,rendimento_tributavel_total,rend_sujeitos_a_tribut_exclusiva,rend_isentos_e_nao_tributaveis,imposto_devido_total,imposto_pago,rend_total,rend_total_por_contrib,pct_isento,pct_tributavel,pct_exclusiva,aliq_efetiva_devida,aliq_efetiva_paga
2020,Acre,Advogado,593.0,4692000000.0,527000000.0,252000000.0,587000000.0,574000000.0,5471000000.0,9225969.645868465,0.046061049168342166,0.8576128678486565,0.09632608298300128,0.10729299945165417,0.10491683421677939
2020,Acre,"Advogado do setor público, Proc, Fazenda, Cons, Jurídico etc",146.0,4914000000.0,353000000.0,314000000.0,951000000.0,966000000.0,5581000000.0,38226027.39726027,0.05626231858089948,0.8804873678552231,0.06325031356387745,0.1703995699695395,0.17308726034760796
2020,Acre,"Agente de Bolsa de Valores, câmbio e outros serviços financ,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020,Acre,"Agente e representante comercial, corretor, leiloeiro, afins",20.0,66000000.0,3000000.0,18000000.0,2000000.0,1000000.0,87000000.0,4350000.0,0.20689655172413793,0.7586206896551724,0.034482758620689655,0.022988505747126436,0.011494252873563218
2020,Acre,Agrônomo e afins,161.0,2727000000.0,1376000000.0,308000000.0,455000000.0,468000000.0,4411000000.0,27397515.52795031,0.06982543640897755,0.6182271593742915,0.3119474042167309,0.10315121287689866,0.10609839038766719
2020,Acre,"Analista de sist,, desenv,de soft,, adm,de redes e banco etc",244.0,1975000000.0,131000000.0,137000000.0,214000000.0,237000000.0,2243000000.0,9192622.950819673,0.06107891217119929,0.8805171645118145,0.05840392331698618,0.0954079358002675,0.10566205974141775
2020,Acre,Antropólogo e arqueólogo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020,Acre,"Apresentador, artistas de artes populares e modelos",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020,Acre,Assistente social e economista doméstico,265.0,1778000000.0,115000000.0,78000000.0,146000000.0,163000000.0,1971000000.0,7437735.849056603,0.0395738203957382,0.9020801623541349,0.058346017250126836,0.07407407407407407,0.08269913749365804
2020,Acre,"Atleta, desportista e afins",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020,Acre,"Ator, diretor de espetáculos",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020,Acre,"Bancário, economiário, escriturário, agente, assistente etc",2552.0,16246000000.0,4266000000.0,2011000000.0,135000000.0,1423000000.0,22523000000.0,8825626.959247649,0.08928650712604892,0.7213071082893042,0.18940638458464681,0.005993872929893887,0.06317986058695556
2020,Acre,"Bibliotecário, documentalista, arquivólogo, museólogo",17.0,17000000.0,16000000.0,8000000.0,2000000.0,21000000.0,41000000.0,2411764.705882353,0.1951219512195122,0.4146341463414634,0.3902439024390244,0.04878048780487805,0.5121951219512195
2020,Acre,"Biólogo, biomédico e afins",316.0,3121000000.0,266000000.0,374000000.0,412000000.0,407000000.0,3761000000.0,11901898.734177215,0.09944163786227067,0.8298324913586812,0.07072587077904813,0.10954533368784898,0.10821590002658868
2020,Acre,Bombeiro Militar,532.0,5767000000.0,333000000.0,223000000.0,662000000.0,723000000.0,6323000000.0,11885338.345864661,0.035268068954610154,0.9120670567768464,0.05266487426854341,0.10469713743476199,0.11434445674521587
2020,Acre,Cantor e compositor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020,Acre,"Cinegrafista, fotógrafos e técnicos em máq, tratam, de dados",17.0,69000000.0,4000000.0,2000000.0,2000000.0,2000000.0,75000000.0,4411764.705882353,0.02666666666666667,0.92,0.05333333333333334,0.02666666666666667,0.02666666666666667
2020,Acre,"Comissário de bordo, guia de turismo, ag, de viagens e afins",14.0,46000000.0,4000000.0,2000000.0,2000000.0,3000000.0,52000000.0,3714285.714285714,0.038461538461538464,0.8846153846153846,0.07692307692307693,0.038461538461538464,0.057692307692307696
2020,Acre,"Condutor e operador de robôs, veículos e equip, movim, carga",32.0,73000000.0,3000000.0,14000000.0,1000000.0,1000000.0,90000000.0,2812500.0,0.15555555555555556,0.8111111111111111,0.03333333333333333,0.011111111111111112,0.011111111111111112
2020,Acre,Corretor e administrador de imóveis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
